Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
22038,6932,3,1530540000,,
22039,6903,3,1530540000,,
22040,6968,3,1530540000,,
22041,7000,2,1530540000,,
22042,6997,2,1530540000,,
22043,6998,2,1530540000,,
22044,7001,2,1530540000,,
22045,2999,5,1530540000,2444,
22046,2999,2,1530540000,,
22048,6998,3,1530540000,,
22049,7005,2,1530540000,,
22050,7004,2,1530540000,,
22051,6926,2,1530626400,,
22052,6892,5,1530626400,5715,
22053,6899,5,1530626400,5715,
22054,6978,5,1530626400,5715,
22055,6932,5,1530626400,5715,
22056,6927,5,1530626400,5715,
22057,6903,5,1530626400,5715,
22058,3502,5,1530626400,5715,
22059,3548,2,1530626400,,
22060,3548,5,1530626400,16652,
22061,1913,5,1530626400,16652,
22063,6993,1,1530626400,,
22064,6993,2,1530626400,,
22065,4389,5,1530626400,15935,
22066,6892,2,1530626400,,
22068,7013,2,1530626400,,
22069,7015,2,1530626400,,
22070,1768,2,1530626400,,
22071,6996,2,1530626400,,
22072,7012,15,1530626400,,
22073,6213,2,1530626400,,
22074,7013,2,1530626400,,
22075,7011,15,1530626400,,
22076,7023,2,1530626400,,
22077,2405,2,1530712800,,
22078,6084,2,1530712800,,
22079,7006,1,1530712800,,
22081,7028,1,1530712800,,
22082,7021,2,1530712800,,
22083,7028,2,1530712800,,
22084,7027,2,1530712800,,
22085,7027,2,1530712800,,
22086,7028,2,1530712800,,
22087,7030,2,1530712800,,
22088,7028,2,1530712800,,
22089,7017,10,1530712800,,
22090,7031,3,1530712800,,
22091,7018,16,1530712800,,
22092,7030,2,1530712800,,
22094,7031,11,1530712800,,
22095,7028,2,1530712800,,
22096,7027,2,1530712800,,
22097,7031,16,1530712800,,
22098,7018,2,1530712800,,
22099,7018,2,1530712800,,
22100,7028,2,1530712800,,
22101,7028,2,1530712800,,
22102,6903,2,1530712800,,
22103,6904,2,1530712800,,
22104,7034,1,1530712800,,
22105,7030,3,1530712800,,
22106,7024,2,1530712800,,
22107,7030,2,1530712800,,
22108,7021,2,1530712800,,
22109,6647,2,1530712800,,
22110,7038,2,1530712800,,
22111,7014,2,1530712800,,
22112,7008,2,1530712800,,
22113,7025,15,1530712800,,
22114,7029,2,1530712800,,
22115,6213,2,1530712800,,
22116,7021,16,1530712800,,
22117,7021,2,1530712800,,
22118,7029,2,1530712800,,
22119,7026,1,1530712800,,
22121,7031,3,1530712800,,
22122,7039,2,1530712800,,
22124,6653,3,1530712800,,
22125,2535,2,1530712800,,
22126,7026,2,1530712800,,
22128,7001,16,1530712800,,
22129,6904,16,1530712800,,
22130,6932,16,1530712800,,
22131,7023,16,1530712800,,
22132,2999,16,1530712800,,
22133,7000,16,1530712800,,
22134,7029,16,1530712800,,
22135,7033,2,1530712800,,
22136,7036,2,1530712800,,
22137,7032,2,1530712800,,
22138,7027,2,1530712800,,
22139,7028,2,1530712800,,
22141,7025,2,1530712800,,
22142,7021,2,1530712800,,
22143,7024,2,1530712800,,
22144,7026,2,1530712800,,
22145,7018,2,1530712800,,
22146,7034,2,1530712800,,
22147,7013,2,1530712800,,
22148,7008,2,1530712800,,
22149,7014,2,1530712800,,
22151,7003,2,1530712800,,
22152,7001,2,1530712800,,
22153,7006,2,1530712800,,
22154,7005,2,1530712800,,
22155,7035,2,1530712800,,
22156,6994,2,1530712800,,
22157,6990,2,1530712800,,
22158,6999,2,1530712800,,
22159,6991,2,1530712800,,
22160,3005,2,1530712800,,
22161,1464,2,1530712800,,
22162,7029,3,1530712800,,
22163,2999,2,1530712800,,
22164,2999,5,1530712800,7800,
22165,3005,2,1530712800,,
22166,7033,2,1530712800,,
22167,7001,2,1530712800,,
22168,7039,2,1530712800,,
22169,7008,2,1530712800,,
22170,6985,16,1530712800,,
22171,7040,2,1530712800,,
22172,5410,5,1530712800,16713,
22173,6950,1,1530799200,,
22174,6916,5,1530799200,16548,
22175,7042,2,1530799200,,
22176,7044,2,1530799200,,
22177,7023,1,1530799200,,
22178,7025,3,1530799200,,
22179,2005,5,1530799200,8889,
22180,7042,2,1530799200,,
22181,7044,2,1530799200,,
22182,7045,16,1530799200,,
22183,7046,16,1530799200,,
22184,6983,2,1530799200,,
22185,92,5,1530799200,16719,
22187,6892,5,1530799200,16354,
22189,7044,2,1530799200,,
22190,6969,3,1530799200,,
22191,7050,2,1530799200,,
22192,7052,2,1530799200,,
22193,6961,16,1530799200,,
22194,7050,2,1530799200,,
22195,7050,1,1530799200,,
22196,7044,5,1530799200,4631,
22197,7052,2,1530799200,,
22198,6298,2,1530799200,,
22199,6299,2,1530799200,,
22200,7049,2,1530799200,,
22201,7050,2,1530799200,,
22202,7051,2,1530799200,,
22203,7048,2,1530799200,,
22204,7044,2,1530799200,,
22205,7046,2,1530799200,,
22206,7052,2,1530799200,,
22207,7042,2,1530799200,,
22208,6899,9,1530799200,,
22209,7047,10,1530885600,,
22210,6892,3,1530885600,,
22212,4058,2,1530885600,,
22213,4883,2,1530885600,,
22215,3921,2,1530885600,,
22216,4907,2,1530885600,,
22217,6821,3,1530885600,,
22218,6802,2,1530885600,,
22219,6821,3,1530885600,,
22221,3590,2,1530885600,,
22222,3205,2,1530885600,,
22223,6805,3,1530885600,,
22224,6926,2,1530885600,,
22225,7023,2,1530885600,,
22226,7052,3,1530885600,,
22227,7044,2,1530885600,,
22228,7057,2,1530885600,,
22229,3590,2,1530885600,,
22230,6865,2,1530885600,,
22231,7064,2,1530885600,,
22232,7064,1,1530885600,,
22233,7064,2,1530885600,,
22234,6892,16,1530885600,,
22235,5328,2,1530885600,,
22236,7065,2,1530885600,,
22237,7065,2,1530885600,,
22238,7055,2,1530885600,,
22239,7063,15,1530885600,,
22240,7059,15,1530885600,,
22241,6892,3,1530885600,,
22242,7073,2,1530972000,,
22243,7042,2,1530972000,,
22244,7073,2,1530972000,,
22245,7072,2,1530972000,,
22246,2810,2,1530972000,,
22247,5322,2,1530972000,,
22248,7059,2,1530972000,,
22249,7044,2,1530972000,,
22250,7076,2,1530972000,,
22251,6966,2,1530972000,,
22252,7062,2,1530972000,,
22253,7061,2,1530972000,,
22254,7076,2,1530972000,,
22255,4471,2,1530972000,,
22258,7052,3,1530972000,,
22259,7044,2,1530972000,,
22260,7071,1,1530972000,,
22261,7079,5,1530972000,4446,
22262,2793,5,1530972000,16734,
